chain,cinema_id,state_code,city_id,method,distance_km,name
cinemex,1,01,1,polygon,0.0,Aguascalientes
cinemex,100,15,23,polygon,0.0,Atlacomulco
cinemex,101,15,24,polygon,0.0,Lerma
cinemex,103,15,26,polygon,0.0,Santín
cinemex,104,15,26,polygon,0.0,Toluca
cinemex,106,11,28,polygon,0.0,San Roque
cinemex,107,11,29,polygon,0.0,Plaza Stadium
cinemex,110,11,30,polygon,0.0,San Miguel de Allende
cinemex,112,13,32,polygon,0.0,GP Pachuca
cinemex,114,13,32,polygon,0.0,Plaza Q
cinemex,115,13,33,polygon,0.0,Tulancingo
cinemex,116,14,34,polygon,0.0,Cd Guzmán
cinemex,118,14,35,polygon,0.0,Guadalajara Río Nilo
cinemex,119,14,35,polygon,0.0,Las Plazas (GDL)
cinemex,12,08,7,polygon,0.0,Galerías TEC
cinemex,121,14,35,polygon,0.0,Tlaquepaque
cinemex,122,14,35,polygon,0.0,Zapopan Acueducto
cinemex,123,14,36,polygon,0.0,Ocotlán
cinemex,124,14,37,polygon,0.0,Macroplaza Vallarta
cinemex,125,14,37,polygon,0.0,Galerías Vallarta
cinemex,126,14,38,polygon,0.0,San Gaspar
cinemex,129,16,40,polygon,0.0,Plaza Estadio Morelia
cinemex,131,16,41,polygon,0.0,Paseo Zamora
cinemex,132,19,42,polygon,0.0,Mol Concordia
cinemex,133,19,43,polygon,0.0,Las Plazas Outlet (MTY)
cinemex,134,19,43,polygon,0.0,Plaza Bella Anáhuac
cinemex,137,19,44,polygon,0.0,Lindavista (MTY)
cinemex,138,19,44,polygon,0.0,Sun Mall Guadalupe
cinemex,139,19,45,polygon,0.0,Sun Mall Villa Juárez
cinemex,140,19,46,polygon,0.0,Céntrika
cinemex,143,19,46,polygon,0.0,Lincoln
cinemex,146,19,47,polygon,0.0,Fiesta Anáhuac
cinemex,149,19,48,polygon,0.0,Humberto Lobo
cinemex,15,08,8,polygon,0.0,Fuentes Mares
cinemex,150,19,48,polygon,0.0,Paseo San Pedro Platino
cinemex,152,19,49,polygon,0.0,Santa Catarina
cinemex,153,17,50,polygon,0.0,Cuautla
cinemex,156,18,52,polygon,0.0,Forum Tepic
cinemex,157,18,52,polygon,0.0,Forum Tepic Platino
cinemex,158,18,52,polygon,0.0,Tepic
cinemex,159,20,54,polygon,0.0,Plaza del Valle
cinemex,16,08,8,polygon,0.0,Juventud
cinemex,160,20,54,polygon,0.0,Plaza Bella Oaxaca
cinemex,161,20,55,polygon,0.0,Tuxtepec
cinemex,163,21,56,polygon,0.0,Solesta
cinemex,164,21,56,polygon,0.0,Plaza Dorada Puebla
cinemex,165,21,56,polygon,0.0,San Francisco
cinemex,166,21,56,polygon,0.0,Puebla Centro
cinemex,167,22,57,polygon,0.0,Candiles
cinemex,168,22,57,polygon,0.0,Constituyentes
cinemex,169,22,97,polygon,0.0,San Juan Del Río (QRO)
cinemex,171,23,58,polygon,0.0,Multiplaza Cancún
cinemex,173,23,60,polygon,0.0,Playa del Carmen (Centro Maya)
cinemex,174,24,61,polygon,0.0,Ciudad Valles
cinemex,175,24,62,polygon,0.0,Citadella
cinemex,177,24,62,polygon,0.0,El Paseo
cinemex,178,25,63,polygon,0.0,Forum Culiacán
cinemex,179,25,63,polygon,0.0,Forum Culiacán Platino
cinemex,18,08,9,polygon,0.0,Delicias
cinemex,183,25,66,polygon,0.0,Paseo Los Mochis
cinemex,186,25,67,polygon,0.0,Galerías Mazatlán
cinemex,19,05,11,polygon,0.0,Monclova
cinemex,190,26,69,polygon,0.0,Guaymas
cinemex,191,26,70,polygon,0.0,Encinas
cinemex,193,26,71,polygon,0.0,Nacozari
cinemex,194,26,72,polygon,0.0,Navojoa
cinemex,195,27,73,polygon,0.0,Cárdenas
cinemex,196,27,74,polygon,0.0,Altabrisa
cinemex,197,27,74,polygon,0.0,Altabrisa Platino
cinemex,199,28,75,polygon,0.0,Cd Mante
cinemex,20,05,12,polygon,0.0,Galerías Saltillo
cinemex,201,28,77,polygon,0.0,Matamoros
cinemex,204,28,79,polygon,0.0,Plaza Real Reynosa
cinemex,207,28,81,polygon,0.0,Tampico
cinemex,210,30,83,polygon,0.0,Forum Coatza Platino
cinemex,211,30,83,polygon,0.0,Forum Coatzacoalcos
cinemex,212,30,84,polygon,0.0,Patio Poza Rica
cinemex,216,31,86,polygon,0.0,Canek
cinemex,217,31,86,polygon,0.0,Galerías Mérida
cinemex,219,31,86,polygon,0.0,Macroplaza Mérida
cinemex,22,05,13,polygon,0.0,Torreón
cinemex,221,31,87,polygon,0.0,Valladolid
cinemex,222,32,88,polygon,0.0,Fresnillo
cinemex,223,32,89,polygon,0.0,Zacatecas
cinemex,226,09,18,polygon,0.0,Plaza Oriente
cinemex,227,25,67,polygon,0.0,Galerías Mazatlán Platino
cinemex,228,20,90,polygon,0.0,Salina Cruz
cinemex,229,11,29,polygon,0.0,Plaza Mayor Platino
cinemex,23,05,13,polygon,0.0,Intermall
cinemex,230,11,29,polygon,0.0,Plaza Mayor Market
cinemex,231,30,85,polygon,0.0,Nuevo Veracruz
cinemex,233,09,18,polygon,0.0,Tláhuac
cinemex,236,09,18,polygon,0.0,Tezontle
cinemex,237,09,15,polygon,0.0,Reforma 222 Market
cinemex,247,15,17,polygon,0.0,Lomas Verdes
cinemex,248,15,17,polygon,0.0,Lomas Verdes Platino
cinemex,249,09,17,polygon,0.0,Parque Lindavista (CDMX)
cinemex,251,09,19,polygon,0.0,Duraznos Platino
cinemex,252,15,25,polygon,0.0,La Pilita
cinemex,253,21,56,polygon,0.0,Triángulo Puebla
cinemex,254,30,91,polygon,0.0,Córdoba
cinemex,255,22,57,polygon,0.0,Boulevares Querétaro
cinemex,258,11,28,polygon,0.0,Irapuato
cinemex,26,09,15,polygon,0.0,Centro Telmex
cinemex,262,08,8,polygon,0.0,Hollywood Chihuahua
cinemex,264,02,3,polygon,0.0,Mundo Divertido Tijuana
cinemex,266,05,12,polygon,0.0,Plaza Real Saltillo
cinemex,267,09,17,polygon,0.0,Clavería
cinemex,269,07,92,polygon,0.0,Galerías Tuxtla
cinemex,27,09,15,polygon,0.0,Pabellón Cuauhtémoc
cinemex,271,08,7,polygon,0.0,Plaza El Camino Cd Juárez
cinemex,272,26,70,polygon,0.0,Metro Centro Hermosillo
cinemex,274,26,70,polygon,0.0,Mirador Hermosillo
cinemex,278,07,94,polygon,0.0,Tapachula
cinemex,279,17,51,polygon,0.0,Plaza Bugambilia
cinemex,28,09,20,polygon,0.0,Félix Cuevas Platino
cinemex,280,17,51,polygon,0.0,Plaza Bugambilia Platino
cinemex,281,26,111,polygon,0.0,Cananea
cinemex,282,02,3,polygon,0.0,Pavilion Zona Río
cinemex,283,20,54,polygon,0.0,Macroplaza Oaxaca
cinemex,285,21,56,polygon,0.0,Hermanos Serdán
cinemex,287,30,82,polygon,0.0,Andamar Platino
cinemex,29,09,15,polygon,0.0,Galerías
cinemex,293,15,16,polygon,0.0,Mexiquense
cinemex,294,31,86,polygon,0.0,Galerías Mérida Platino
cinemex,295,16,95,polygon,0.0,La Piedad
cinemex,296,15,17,polygon,0.0,Plaza Jardines Tultitlán
cinemex,298,15,17,polygon,0.0,Plaza Tlalnepantla
cinemex,3,02,3,polygon,0.0,Loma Bonita
cinemex,30,09,15,polygon,0.0,Insurgentes
cinemex,300,02,3,polygon,0.0,Tijuana Pacífico
cinemex,301,23,58,polygon,0.0,Los Héroes Cancún
cinemex,302,15,17,polygon,0.0,Zumpango
cinemex,303,03,4,polygon,0.0,Puerto Paraíso Platino
cinemex,304,05,12,polygon,0.0,Galerías Saltillo Platino
cinemex,305,05,12,polygon,0.0,Mirasierra
cinemex,308,09,18,polygon,0.0,Vía San Juan
cinemex,309,11,96,polygon,0.0,Vía Alta Salamanca
cinemex,313,05,99,polygon,0.0,Plaza Inova Piedras Negras
cinemex,314,09,18,polygon,0.0,Lomas Estrella
cinemex,315,22,57,polygon,0.0,Urban Center Jurica
cinemex,316,26,70,polygon,0.0,Paseo Solidaridad
cinemex,32,09,15,polygon,0.0,Parque Delta
cinemex,321,14,35,polygon,0.0,Sania (Minerva)
cinemex,322,09,20,polygon,0.0,Patio Revolución Platino
cinemex,324,09,15,polygon,0.0,Parque Delta Platino
cinemex,326,05,102,polygon,0.0,Ramos Arizpe
cinemex,328,03,103,polygon,0.0,San José del Cabo
cinemex,329,02,2,polygon,0.0,La Gran Vía Mexicali
cinemex,33,09,15,polygon,0.0,Patriotismo Market
cinemex,332,09,17,polygon,0.0,Portal Vallejo
cinemex,334,17,51,polygon,0.0,Forum Cuernavaca
cinemex,336,15,17,polygon,0.0,Cuatro Caminos
cinemex,339,19,48,polygon,0.0,Fashion Drive Platino
cinemex,34,09,15,polygon,0.0,Real
cinemex,340,31,86,polygon,0.0,Uptown Mérida
cinemex,341,04,6,polygon,0.0,Ciudad del Carmen
cinemex,342,14,35,polygon,0.0,Paseo Alcalde
cinemex,343,19,104,polygon,0.0,Salinas Victoria
cinemex,344,29,105,polygon,0.0,Galerías Tlaxcala
cinemex,345,12,106,polygon,0.0,Paseo Zihuatanejo
cinemex,346,09,20,polygon,0.0,Manacar
cinemex,35,09,15,polygon,0.0,Reforma Casa de Arte
cinemex,351,19,46,polygon,0.0,Pabellón M
cinemex,353,21,56,polygon,0.0,Las Torres
cinemex,354,09,15,polygon,0.0,Portal Centro
cinemex,355,15,26,polygon,0.0,Patio Toluca
cinemex,356,19,46,polygon,0.0,Garza Sada
cinemex,357,09,20,polygon,0.0,Arenal
cinemex,358,15,19,polygon,0.0,Paseo Hipódromo Platino
cinemex,359,17,51,polygon,0.0,Cibeles
cinemex,36,09,15,polygon,0.0,San Antonio
cinemex,360,09,17,polygon,0.0,Ferrería
cinemex,363,01,1,polygon,0.0,Rincón de Romos
cinemex,364,25,63,polygon,0.0,Plaza Pabellón Culiacán
cinemex,365,22,57,polygon,0.0,Hilvana
cinemex,366,14,35,polygon,0.0,Plaza Patria
cinemex,367,14,35,polygon,0.0,Plaza Patria Platino
cinemex,369,21,56,polygon,0.0,Explanada Puebla
cinemex,370,31,110,polygon,0.0,Tizimín
cinemex,371,02,3,polygon,0.0,Alameda Otay
cinemex,372,19,49,polygon,0.0,Vía Cordillera Platino
cinemex,373,09,20,polygon,0.0,Artz Pedregal Market
cinemex,374,09,20,polygon,0.0,Artz Pedregal Platino
cinemex,375,15,25,polygon,0.0,Town Square Metepec
cinemex,376,15,25,polygon,0.0,Town Square Metepec Platino
cinemex,377,22,57,polygon,0.0,Paseo Querétaro
cinemex,378,22,57,polygon,0.0,Paseo Querétaro Platino
cinemex,380,07,92,polygon,0.0,Ambar Fashion Mall
cinemex,381,14,35,polygon,0.0,Landmark Guadalajara Platino
cinemex,382,07,92,polygon,0.0,Ambar Fashion Mall Platino
cinemex,384,32,88,polygon,0.0,Portal Fresnillo
cinemex,385,10,21,polygon,0.0,Portal Durango
cinemex,388,13,114,polygon,0.0,Progreso
cinemex,389,11,27,polygon,0.0,Alaia Guanajuato
cinemex,39,15,16,polygon,0.0,Paseo Ventura
cinemex,390,08,7,polygon,0.0,Mi Plaza Libramiento
cinemex,391,13,32,polygon,0.0,Explanada Pachuca
cinemex,392,32,115,polygon,0.0,Río Grande
cinemex,393,27,74,polygon,0.0,City Center Villahermosa
cinemex,394,26,70,polygon,0.0,Sun Mall Hermosillo
cinemex,395,23,60,polygon,0.0,Velamar
cinemex,396,27,74,polygon,0.0,Crystal Villahermosa
cinemex,397,31,86,polygon,0.0,Itzaes
cinemex,398,23,58,polygon,0.0,La Isla Cancún Platino
cinemex,399,13,116,polygon,0.0,Cd. Sahagún
cinemex,4,02,3,polygon,0.0,Macroplaza Tijuana
cinemex,400,15,17,polygon,0.0,Huehuetoca
cinemex,402,25,63,polygon,0.0,Explanada Culiacán
cinemex,403,21,56,polygon,0.0,Amalucan
cinemex,404,08,8,polygon,0.0,Distrito Uno
cinemex,405,08,8,polygon,0.0,Distrito Uno Platino
cinemex,406,09,17,polygon,0.0,Atana Lindavista
cinemex,407,13,117,polygon,0.0,Alameda Tizayuca
cinemex,409,03,4,polygon,0.0,Mi Plaza Los Cabos
cinemex,41,15,16,polygon,0.0,Cd Azteca
cinemex,410,09,16,polygon,0.0,Encuentro Oceanía
cinemex,411,15,19,polygon,0.0,Interlomas Market
cinemex,412,09,20,polygon,0.0,Galerías Insurgentes Market
cinemex,413,09,20,polygon,0.0,Miguel Ángel de Quevedo
cinemex,414,02,3,polygon,0.0,Península Tijuana
cinemex,415,02,3,polygon,0.0,Península Tijuana Platino
cinemex,416,25,63,polygon,0.0,Cuatro Ríos
cinemex,418,24,62,polygon,0.0,The Park Market
cinemex,419,24,62,polygon,0.0,The Park Platino
cinemex,42,15,16,polygon,0.0,Ecatepec
cinemex,420,02,3,polygon,0.0,The Landmark Tijuana Market
cinemex,421,15,17,polygon,0.0,Toltecas
cinemex,422,10,22,polygon,0.0,Paseo Gómez Palacio
cinemex,423,15,17,polygon,0.0,Samara Satélite Platino
cinemex,424,07,94,polygon,0.0,Alaia Tapachula
cinemex,425,30,119,polygon,0.0,Paseo Jardines
cinemex,426,21,56,polygon,0.0,Downtown Puebla
cinemex,427,21,56,polygon,0.0,Downtown Puebla Platino
cinemex,428,09,16,polygon,0.0,Patio Martín Carrera
cinemex,429,09,17,polygon,0.0,Parque Lindavista Platino (CDMX)
cinemex,430,09,15,polygon,0.0,Patriotismo Platino
cinemex,44,15,16,polygon,0.0,Macroplaza Tecámac
cinemex,45,15,17,polygon,0.0,Coacalco
cinemex,47,15,17,polygon,0.0,Izcalli
cinemex,49,15,17,polygon,0.0,La Joya
cinemex,50,15,17,polygon,0.0,La Vía
cinemex,52,15,17,polygon,0.0,Mundo E
cinemex,53,15,17,polygon,0.0,Mundo E Platino
cinemex,54,15,16,polygon,0.0,Ojo de Agua
cinemex,55,15,17,polygon,0.0,Las Flores Coacalco
cinemex,57,15,17,polygon,0.0,Puerta Texcoco
cinemex,58,09,17,polygon,0.0,Rosario
cinemex,59,15,17,polygon,0.0,San Mateo
cinemex,60,09,17,polygon,0.0,Tenayuca
cinemex,61,15,17,polygon,0.0,Texcoco
cinemex,66,15,18,polygon,0.0,Chalco
cinemex,67,15,18,polygon,0.0,Chimalhuacán
cinemex,68,15,18,polygon,0.0,Cortijo
cinemex,69,15,18,polygon,0.0,Ixtapaluca
cinemex,7,03,4,polygon,0.0,Puerto Paraíso
cinemex,70,09,18,polygon,0.0,Iztapalapa
cinemex,71,09,18,polygon,0.0,La Viga
cinemex,72,15,18,polygon,0.0,Los Reyes
cinemex,73,15,18,polygon,0.0,Paseo Chalco
cinemex,75,09,19,polygon,0.0,Antara Market
cinemex,76,09,19,polygon,0.0,Antara Platino
cinemex,82,09,19,polygon,0.0,Park Plaza Platino
cinemex,83,15,19,polygon,0.0,San Esteban
cinemex,84,09,19,polygon,0.0,Santa Fe
cinemex,85,09,19,polygon,0.0,Santa Fe Platino
cinemex,86,09,20,polygon,0.0,Altavista
cinemex,87,09,20,polygon,0.0,Galerías Coapa
cinemex,89,09,20,polygon,0.0,Cuicuilco
cinemex,90,09,20,polygon,0.0,Cuicuilco Platino
cinemex,91,09,20,polygon,0.0,Gran Sur
cinemex,92,09,20,polygon,0.0,Loreto
cinemex,93,09,20,polygon,0.0,Prado Coapa
cinemex,94,09,20,polygon,0.0,Tlalpan
cinemex,95,09,20,polygon,0.0,Universidad
cinemex,96,10,21,polygon,0.0,Durango
cinemex,97,10,21,polygon,0.0,Durango Platino
cinemex,98,10,22,polygon,0.0,Gómez Palacio
cinepolis,acapulco-renacimiento,12,acapulco,polygon,0.0,Acapulco Renacimiento
cinepolis,cinepolis-acaya-coatzacoalcos,30,coatzacoalcos,polygon,0.0,Acaya Coatzacoalcos
cinepolis,cinepolis-acaya-mazatlan,25,mazatlan,polygon,0.0,Acaya Mazatlán
cinepolis,cinepolis-adana-lincoln-monterrey,19,monterrey,polygon,0.0,Adana Lincoln
cinepolis,cinepolis-adelitas-cd-victoria,28,cd-victoria,polygon,0.0,Adelitas
cinepolis,cinepolis-aguascalientes,01,aguascalientes,polygon,0.0,Aguascalientes
cinepolis,cinepolis-ajusco-cdmx,09,cdmx,polygon,0.0,Ajusco
cinepolis,cinepolis-akropolis-fracc-las-americas-merida,31,merida,polygon,0.0,Akrópolis (Fracc. Las Américas)
cinepolis,cinepolis-alameda-guadalajara,14,guadalajara,polygon,0.0,Alameda Guadalajara
cinepolis,cinepolis-almenares-monterrey,19,monterrey,polygon,0.0,Almenares
cinepolis,cinepolis-altama-tampico,28,tampico,polygon,0.0,Altama
cinepolis,cinepolis-altaria-aguascalientes,01,aguascalientes,polygon,0.0,Altaria
cinepolis,cinepolis-altea-huinala-monterrey,19,monterrey,polygon,0.0,Altea Huinalá
cinepolis,cinepolis-altea-linares,19,linares,polygon,0.0,Altea Linares
cinepolis,cinepolis-anfora-cdmx,09,cdmx,polygon,0.0,Anfora
cinepolis,cinepolis-angelopolis-puebla,21,puebla,polygon,0.0,Angelópolis
cinepolis,cinepolis-antea-queretaro,22,queretaro,polygon,0.0,Antea Querétaro
cinepolis,cinepolis-arboledas-guadalajara,14,guadalajara,polygon,0.0,Arboledas Guadalajara
cinepolis,cinepolis-arco-norte-cancun,23,cancun,polygon,0.0,Arco Norte
cinepolis,cinepolis-argania-san-juan-de-los-lagos,14,san-juan-de-los-lagos,polygon,0.0,Argania
cinepolis,cinepolis-arkana-norte-perinorte-cuautitlan,15,perinorte-cuautitlan,polygon,0.0,Arkana Norte
cinepolis,cinepolis-averanda-cuernavaca,17,cuernavaca,polygon,0.0,Averanda
cinepolis,cinepolis-bella-vista-cd-obregon,26,cd-obregon,polygon,0.0,Bella Vista
cinepolis,cinepolis-boulevard-puebla,21,puebla,polygon,0.0,Boulevard
cinepolis,cinepolis-bugambilias-ixtlahuaca-ixtlahuaca-de-rayon,05,ixtlahuaca-de-rayon,polygon,0.0,Bugambilias Ixtlahuaca
cinepolis,cinepolis-cabo-san-lucas-los-cabos,03,los-cabos,polygon,0.0,Cabo San Lucas
cinepolis,cinepolis-caborca,26,caborca,polygon,0.0,Caborca
cinepolis,cinepolis-cancun-mall,23,cancun,polygon,0.0,Cancún Mall
cinepolis,cinepolis-carrousel-tijuana,02,tijuana,polygon,0.0,Carrousel
cinepolis,cinepolis-centro-civico-mexicali,02,mexicali,polygon,0.0,Centro Cívico
cinepolis,cinepolis-centro-comercial-altacia-leon,11,leon,polygon,0.0,Centro Comercial Altacia
cinepolis,cinepolis-centro-lago-de-guadalupe-perinorte-cuautitlan,15,perinorte-cuautitlan,polygon,0.0,Centro Lago de Guadalupe
cinepolis,cinepolis-centro-magno-guadalajara,14,guadalajara,polygon,0.0,Centro Magno
cinepolis,cinepolis-centro-max-leon,11,leon,polygon,0.0,Centro Max
cinepolis,cinepolis-centro-sur-agua-santa-puebla,21,puebla,polygon,0.0,Centro Sur (Agua Santa)
cinepolis,cinepolis-centro-sur-guadalajara,14,guadalajara,polygon,0.0,Centro Sur
cinepolis,cinepolis-centro-tepozan-los-reyes-la-paz,15,los-reyes-la-paz,polygon,0.0,Centro Tepozán
cinepolis,cinepolis-chedrahui-macuspana,27,macuspana,polygon,0.0,Chedrahui Macuspana
cinepolis,cinepolis-chedraui-durango,10,durango,polygon,0.0,Chedraui Durango
cinepolis,cinepolis-chedraui-martinez-de-la-torre,30,martinez-de-la-torre,polygon,0.0,Chedraui Martínez de la Torre
cinepolis,cinepolis-chihuahua-av-vallarta,08,chihuahua,polygon,0.0,Chihuahua Av. Vallarta
cinepolis,cinepolis-citadel-monterrey,19,monterrey,polygon,0.0,Citadel
cinepolis,cinepolis-citadina-corregidora-queretaro,22,queretaro,polygon,0.0,Citadina Corregidora
cinepolis,cinepolis-citadina-escobedo-monterrey,19,monterrey,polygon,0.0,Citadina Escobedo
cinepolis,cinepolis-city-center-zona-esmeralda-cdmx,15,cdmx,polygon,0.0,City Center Zona Esmeralda
cinepolis,cinepolis-ciudad-acuna-cd-acuna,05,cd-acuna,polygon,0.0,Ciudad Acuña
cinepolis,cinepolis-ciudad-guzman-cd-guzman,14,cd-guzman,polygon,0.0,Ciudad Guzmán
cinepolis,cinepolis-ciudadela-lifestyle-center-guadalajara,14,guadalajara,polygon,0.0,Ciudadela Lifestyle Center
cinepolis,cinepolis-coacalco-power-center,15,coacalco,polygon,0.0,Coacalco Power Center
cinepolis,cinepolis-comalcalco,27,comalcalco,polygon,0.0,Comalcalco
cinepolis,cinepolis-copilco-cdmx,09,cdmx,polygon,0.0,Copilco
cinepolis,cinepolis-cosmopol-coacalco,15,coacalco,polygon,0.0,Cosmopol
cinepolis,cinepolis-cozumel,23,cozumel,nearest,0.0,Cozumel
cinepolis,cinepolis-cruz-del-sur-puebla,21,puebla,polygon,0.0,Cruz del Sur
cinepolis,cinepolis-cuatro-caminos-torreon,05,torreon,polygon,0.0,Cuatro Caminos
cinepolis,cinepolis-cuauhtemoc-cd-cuauhtemoc,08,cd-cuauhtemoc,polygon,0.0,Cuauhtémoc
cinepolis,cinepolis-cuautla,17,cuautla,polygon,0.0,Cuautla
cinepolis,cinepolis-cuernavaca,17,cuernavaca,polygon,0.0,Galerías Cuernavaca
cinepolis,cinepolis-culiacan,25,culiacan,polygon,0.0,Culiacán
cinepolis,cinepolis-cumbres-monterrey,19,monterrey,polygon,0.0,Cumbres Monterrey
cinepolis,cinepolis-del-rio-plaza-comercial-reynosa,28,reynosa,polygon,0.0,Del Río Plaza Comercial
cinepolis,cinepolis-delicias,08,delicias,polygon,0.0,Delicias
cinepolis,cinepolis-diana-cdmx,09,cdmx,polygon,0.0,Diana
cinepolis,cinepolis-durango,10,durango,polygon,0.0,Durango
cinepolis,cinepolis-ecatepec-las-americas,15,ecatepec,polygon,0.0,Ecatepec Las Américas
cinepolis,cinepolis-el-dorado-coatzacoalcos,30,coatzacoalcos,polygon,0.0,El Dorado Coatzacoalcos
cinepolis,cinepolis-el-dorado-veracruz,30,veracruz,polygon,0.0,El Dorado Veracruz
cinepolis,cinepolis-el-titan-monterrey,19,monterrey,polygon,0.0,El Titán
cinepolis,cinepolis-eloy-cavazos-monterrey,19,monterrey,polygon,0.0,Eloy Cavazos
cinepolis,cinepolis-encuentro-fortuna-cdmx,09,cdmx,polygon,0.0,Encuentro Fortuna
cinepolis,cinepolis-encuentro-tlalnepantla-cdmx,15,cdmx,polygon,0.0,Encuentro Tlalnepantla
cinepolis,cinepolis-ermita-cdmx,09,cdmx,polygon,0.0,Ermita
cinepolis,cinepolis-escala-la-huerta-morelia,16,morelia,polygon,0.0,Escala La Huerta
cinepolis,cinepolis-escala-morelia-plaza-morelia,16,morelia,polygon,0.0,Escala Morelia
cinepolis,cinepolis-escala-parral-hidalgo-del-parral,08,hidalgo-del-parral,polygon,0.0,Escala Parral
cinepolis,cinepolis-esfera-monterrey,19,monterrey,polygon,0.0,Esfera Monterrey
cinepolis,cinepolis-esfera-queretaro,22,queretaro,polygon,0.0,Esfera Querétaro
cinepolis,cinepolis-espacio-aguascalientes,01,aguascalientes,polygon,0.0,Espacio Aguascalientes
cinepolis,cinepolis-espacio-las-americas-morelia,16,morelia,polygon,0.0,Espacio Las Américas
cinepolis,cinepolis-fashion-mall-chihuahua,08,chihuahua,polygon,0.0,Fashion Mall
cinepolis,cinepolis-forum-buenavista-cdmx,09,cdmx,polygon,0.0,Fórum Buenavista
cinepolis,cinepolis-forum-tlaquepaque-guadalajara,14,guadalajara,polygon,0.0,Fórum Tlaquepaque
cinepolis,cinepolis-galerias-acapulco,12,acapulco,polygon,0.0,Galerías Acapulco
cinepolis,cinepolis-galerias-atizapan-cdmx,15,cdmx,polygon,0.0,Galerías Atizapán
cinepolis,cinepolis-galerias-campeche,04,campeche,polygon,0.0,Galerías Campeche
cinepolis,cinepolis-galerias-celaya,11,celaya,polygon,0.0,Galerías Celaya
cinepolis,cinepolis-galerias-chilpancingo,12,chilpancingo,polygon,0.0,Galerías Chilpancingo
cinepolis,cinepolis-galerias-del-valle-mexicali,02,mexicali,polygon,0.0,Galerías del Valle
cinepolis,cinepolis-galerias-diana-acapulco,12,acapulco,polygon,0.0,Diana Acapulco
cinepolis,cinepolis-galerias-guadalajara,14,guadalajara,polygon,0.0,Galerías Guadalajara
cinepolis,cinepolis-galerias-hipodromo-tijuana,02,tijuana,polygon,0.0,Galerías Hipódromo
cinepolis,cinepolis-galerias-laguna-torreon,05,torreon,polygon,0.0,Galerías Laguna
